"Line","","1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","        Gross domestic product",12.552,12.519,12.493,12.688,12.879,13.092,13.167,13.181,13.000,12.955,13.089,12.979,13.489,13.901,14.438,14.714,14.914,15.173,15.485,15.519,15.685,15.719,15.833,16.353,16.657,16.785,16.691,16.438,16.360,16.377,16.562,16.886,17.369,17.651,17.890,17.997,17.927,18.075,18.059,18.356,18.474,18.433,18.614,18.421,17.943,18.061,18.479,18.911,19.275,19.710,19.724,19.780,20.224,20.115,20.214,19.954,20.089,20.430,20.822,21.231,21.609,21.805,22.072,22.145,22.387,22.638,23.136,23.287,23.778,24.037,24.413,24.488,25.081,25.397,25.962,26.560,27.207,27.300,27.531,27.757,28.003,28.020,28.285,28.498,29.079,29.565,29.794,29.912,30.380,30.472,30.673,30.524,30.478,30.522,30.803,30.473,31.301,31.470,31.729,31.804,32.389,33.124,33.436,33.996,34.838,35.217,35.032,35.364,35.060,35.144,34.811,34.676,34.254,34.499,35.089,35.562,36.362,36.628,36.829,37.096,37.535,38.264,38.955,38.956,39.080,40.590,40.998,41.549,41.624,41.669,41.978,42.083,42.215,41.346,41.296,42.067,42.891,42.573,43.083,42.613,41.951,42.143,41.982,41.998,42.552,43.520,44.390,45.316,46.202,47.000,47.454,47.843,48.307,48.732,49.476,49.844,50.309,50.536,51.020,51.294,51.676,52.233,52.686,53.591,53.868,54.576,54.896,55.627,56.193,56.621,57.041,57.153,57.778,57.988,58.026,57.498,57.229,57.675,57.967,58.169,58.865,59.503,60.091,60.718,60.820,61.174,61.466,62.302,62.906,63.759,64.131,64.866,65.096,65.290,65.846,66.293,66.789,67.903,68.513,69.224,69.671,70.829,71.715,72.331,73.054,73.730,74.653,75.860,76.578,77.167,78.177,79.506,79.794,81.255,81.363,81.870,81.637,82.114,81.773,81.996,82.713,83.214,83.584,83.713,84.178,84.902,86.344,87.335,87.801,88.470,89.307,90.201,91.200,91.621,92.437,93.021,94.258,94.479,94.625,95.431,95.655,96.203,96.726,97.314,96.755,97.254,96.728,94.635,93.572,93.438,93.778,94.808,95.173,96.050,96.758,97.244,97.010,97.704,97.677,98.809,99.583,100.011,100.146,100.260,101.148,101.273,102.066,102.881,102.590,103.979,105.248,105.841,106.845,107.568,107.958,108.131,108.744,109.083,109.677,110.367,110.991,111.465,112.278,113.351,114.407,115.172,115.777,116.157,116.999,117.433,118.181,118.874,117.373,106.825,114.815,115.949
"2","Personal consumption expenditures",11.583,11.776,11.814,11.818,11.877,12.015,12.033,12.129,12.149,12.335,12.363,12.544,12.753,12.963,13.629,13.218,13.537,13.155,13.308,13.386,13.417,13.679,13.745,14.230,14.397,14.484,14.449,14.352,14.405,14.592,14.790,15.100,15.439,15.735,15.929,16.129,16.155,16.209,16.246,16.470,16.584,16.613,16.744,16.751,16.520,16.656,16.933,17.163,17.477,17.747,17.932,17.953,18.124,18.353,18.280,18.303,18.297,18.569,18.659,19.034,19.236,19.473,19.629,19.907,20.047,20.236,20.510,20.681,21.087,21.460,21.857,21.919,22.408,22.655,23.044,23.692,24.042,24.103,24.379,24.480,24.621,24.958,25.086,25.239,25.844,26.238,26.729,26.850,27.148,27.323,27.456,27.675,27.847,27.973,28.218,28.142,28.682,28.946,29.176,29.661,30.052,30.624,31.096,31.826,32.407,32.392,32.506,32.409,32.119,32.235,32.373,31.900,32.168,32.697,33.162,33.518,34.188,34.503,34.866,35.319,35.735,35.929,36.268,36.814,37.020,37.812,37.971,38.277,38.475,38.450,38.825,38.921,38.865,37.990,38.407,38.926,39.056,39.059,39.240,38.971,39.258,39.378,39.642,40.336,40.735,41.565,42.310,42.984,43.341,43.948,44.274,44.848,45.610,46.028,46.903,47.004,47.415,47.931,48.779,49.079,49.127,49.798,50.366,50.473,51.364,51.744,52.203,52.797,53.042,53.290,53.805,54.039,54.494,54.660,54.877,54.459,54.254,54.704,54.977,54.949,55.978,56.358,56.962,57.641,57.862,58.388,59.038,59.557,60.238,60.706,61.169,61.831,61.985,62.528,63.095,63.535,64.121,64.810,65.203,65.722,66.415,66.714,67.851,68.662,69.356,70.577,71.498,72.531,73.234,74.302,75.141,76.242,77.413,78.161,78.928,79.607,79.926,80.115,80.389,81.591,81.841,82.261,82.857,83.333,83.725,84.666,85.908,86.490,87.260,87.803,88.774,89.739,90.263,91.287,92.173,92.447,93.477,93.951,94.521,95.436,95.970,96.148,96.690,96.965,96.708,96.864,96.139,95.244,95.029,94.644,95.297,95.156,95.627,96.387,97.061,97.703,98.119,98.336,98.721,98.901,99.696,99.843,100.006,100.455,100.976,101.048,101.459,102.333,102.737,103.861,104.979,106.252,107.191,108.045,108.943,109.526,110.369,111.075,111.790,112.476,113.359,113.867,114.516,115.690,116.274,117.183,117.954,118.412,118.955,120.042,120.846,121.322,119.184,107.754,117.425,118.152
"3","    Goods",12.230,12.450,12.533,12.580,12.599,12.713,12.701,12.785,12.766,13.047,13.114,13.407,13.667,13.813,14.847,14.064,14.374,13.644,13.794,13.905,13.839,14.149,14.135,14.849,15.045,15.074,14.947,14.857,14.848,14.993,15.152,15.575,16.053,16.505,16.735,16.853,16.778,16.754,16.684,16.923,17.081,17.019,17.162,17.027,16.621,16.671,16.986,17.314,17.716,17.997,18.139,17.992,18.172,18.426,18.308,18.198,18.026,18.298,18.417,18.827,19.048,19.235,19.383,19.686,19.869,20.034,20.235,20.304,20.774,21.211,21.706,21.547,22.248,22.409,22.868,23.749,24.196,24.075,24.422,24.371,24.434,24.860,24.786,24.884,25.676,26.060,26.699,26.655,27.012,27.032,27.080,27.177,27.221,27.298,27.466,27.169,28.042,28.272,28.454,28.955,29.225,29.998,30.520,31.415,32.166,31.855,31.866,31.550,31.035,30.938,31.037,29.777,29.993,30.634,31.390,31.604,32.529,32.921,33.211,33.615,33.991,34.242,34.518,35.254,35.056,36.062,36.092,36.499,36.471,36.163,36.764,36.609,36.423,34.923,35.282,35.682,36.196,35.907,36.269,35.621,35.977,35.969,36.160,36.890,37.082,38.176,39.023,39.942,40.483,41.385,41.411,42.058,42.707,43.097,44.246,43.982,44.650,45.444,46.852,46.822,45.865,46.743,47.446,47.022,48.132,48.382,48.372,49.140,49.207,49.485,50.197,50.031,50.702,50.158,50.042,49.252,48.830,49.103,49.398,48.851,49.958,50.212,50.761,51.433,51.632,52.460,53.002,53.677,54.586,55.072,55.583,56.646,56.365,56.745,57.432,57.974,58.438,59.578,60.002,60.729,61.545,61.495,63.098,63.959,64.440,66.115,67.108,69.149,70.003,71.656,72.501,73.746,74.851,75.242,76.027,76.686,76.866,77.073,77.623,80.419,80.283,80.506,81.501,81.825,82.276,84.069,86.433,87.210,88.193,88.497,89.738,90.939,91.635,92.989,93.875,93.677,95.616,95.755,96.597,97.951,98.639,98.870,99.492,99.688,98.050,97.903,95.851,92.930,92.953,92.355,93.965,93.462,94.165,95.449,96.167,97.503,97.990,97.629,97.663,98.369,99.616,99.598,100.037,100.749,102.481,102.554,103.290,104.264,104.957,106.843,108.074,109.528,110.838,112.012,113.269,113.709,114.943,116.090,117.234,117.839,118.982,120.425,121.640,123.931,124.572,125.860,126.746,127.547,128.338,130.747,132.093,132.275,132.305,128.580,141.637,141.479
"4","        Durable goods",3.896,3.978,4.033,4.295,4.273,4.302,4.375,4.313,4.234,4.601,4.821,5.012,5.204,5.249,6.493,5.690,5.869,5.027,4.936,4.920,4.948,5.045,4.745,5.563,5.750,5.717,5.681,5.522,5.351,5.610,5.634,5.980,6.518,6.871,7.094,6.907,6.591,6.600,6.483,6.692,6.814,6.654,6.608,6.531,6.096,6.003,6.128,6.352,6.697,6.949,7.083,6.745,6.962,7.120,7.064,6.886,6.508,6.643,6.805,7.135,7.289,7.485,7.539,7.871,8.028,8.201,8.302,8.433,8.762,8.990,9.287,9.002,9.840,9.855,10.192,10.622,11.127,10.683,11.033,11.029,10.820,11.286,11.195,11.224,11.921,12.175,12.723,12.648,12.886,12.851,12.815,12.766,12.570,12.715,12.761,11.914,13.192,13.492,13.851,14.443,14.773,15.145,15.534,16.357,17.398,17.193,17.040,16.642,16.252,16.339,16.434,14.870,15.187,15.483,16.449,16.928,17.774,17.854,18.057,18.343,19.036,19.486,19.773,20.189,19.653,21.118,20.834,20.998,20.750,20.281,20.846,20.309,19.990,17.834,18.625,19.192,19.737,18.969,19.546,18.142,18.723,18.792,18.944,19.809,20.008,21.467,22.292,23.392,24.274,24.838,24.845,25.652,26.543,26.859,28.578,27.594,28.157,29.152,31.638,31.137,29.290,30.491,31.751,30.894,32.356,32.367,31.945,32.772,32.627,33.062,33.810,32.783,34.167,33.038,32.703,31.802,30.926,31.082,31.559,31.044,32.263,32.487,33.180,33.839,34.168,35.277,35.671,36.529,37.399,37.801,38.199,39.541,38.722,39.116,40.220,40.917,41.362,42.678,42.982,43.820,45.006,44.863,46.861,48.058,48.445,50.894,52.339,55.431,55.551,58.207,59.602,60.316,63.682,62.505,63.567,64.007,65.059,65.003,65.749,71.229,70.451,70.893,73.019,72.352,72.419,75.708,79.058,80.201,81.601,81.814,83.926,85.512,85.920,88.207,89.932,87.240,90.704,90.742,92.042,93.340,94.595,95.588,96.757,97.481,94.330,93.658,90.499,83.838,83.985,83.375,87.425,85.363,86.406,89.130,90.531,93.065,93.880,93.216,94.043,96.297,98.651,98.836,100.120,102.393,105.018,105.492,106.385,107.527,109.235,113.157,115.216,117.397,119.512,122.040,123.694,124.389,126.094,127.781,131.123,133.036,134.307,136.448,139.366,143.825,145.242,147.751,148.910,149.819,150.175,154.730,157.123,158.333,153.114,152.470,177.260,177.240
"5","        Nondurable goods",20.684,21.038,21.135,20.859,20.927,21.132,21.004,21.279,21.361,21.421,21.233,21.581,21.857,22.111,22.493,21.993,22.397,22.069,22.533,22.798,22.609,23.135,23.542,23.887,24.035,24.145,23.924,23.960,24.191,24.126,24.431,24.842,25.100,25.563,25.735,26.258,26.554,26.488,26.506,26.718,26.880,26.981,27.356,27.177,26.932,27.176,27.673,28.053,28.418,28.654,28.763,28.941,29.014,29.331,29.159,29.179,29.352,29.746,29.768,30.173,30.423,30.545,30.782,30.955,31.124,31.230,31.516,31.476,32.015,32.626,33.264,33.327,33.646,33.967,34.476,35.755,36.015,36.356,36.618,36.516,36.926,37.201,37.167,37.335,38.069,38.538,39.151,39.160,39.595,39.682,39.830,40.097,40.441,40.416,40.706,41.181,41.350,41.444,41.359,41.641,41.778,42.908,43.499,44.320,44.587,44.211,44.418,44.243,43.649,43.359,43.453,42.678,42.759,43.706,44.134,44.027,44.919,45.609,45.958,46.442,46.411,46.408,46.638,47.640,47.843,48.212,48.586,49.212,49.430,49.334,49.912,50.175,50.151,49.472,49.350,49.543,49.981,50.203,50.315,50.507,50.600,50.513,50.729,51.250,51.415,52.021,52.812,53.456,53.591,54.763,54.805,55.226,55.564,55.997,56.458,56.961,57.683,58.196,58.317,58.792,58.869,59.318,59.367,59.439,60.080,60.558,60.976,61.611,61.890,61.984,62.606,63.315,63.233,63.302,63.405,62.769,62.798,63.167,63.273,62.730,63.663,63.931,64.312,64.957,65.022,65.539,66.187,66.648,67.540,68.074,68.661,69.390,69.639,69.981,70.230,70.592,71.049,71.962,72.474,73.061,73.500,73.532,74.708,75.231,75.771,76.692,77.248,78.304,79.757,80.514,80.884,82.533,81.809,83.432,83.983,84.790,84.286,84.682,85.072,85.791,86.151,86.210,86.354,87.389,88.095,88.801,90.441,90.960,91.657,92.026,92.685,93.630,94.511,95.257,95.612,96.952,97.945,98.144,98.706,100.079,100.418,100.206,100.521,100.439,99.661,99.815,98.358,97.420,97.384,96.800,97.108,97.418,97.937,98.474,98.842,99.578,99.909,99.697,99.358,99.334,100.060,99.946,99.996,99.998,101.328,101.221,101.884,102.779,103.019,104.012,104.880,106.017,106.974,107.549,108.631,108.960,109.984,110.891,111.075,111.114,112.201,113.346,113.841,115.227,115.549,116.337,117.109,117.861,118.823,120.353,121.270,121.043,123.143,118.223,126.508,126.296
"6","    Services",10.450,10.602,10.580,10.525,10.637,10.804,10.862,10.971,11.040,11.096,11.073,11.105,11.243,11.529,11.707,11.782,12.104,12.187,12.340,12.370,12.526,12.720,12.886,13.068,13.197,13.354,13.434,13.332,13.457,13.689,13.925,14.093,14.258,14.362,14.509,14.798,14.941,15.084,15.243,15.442,15.503,15.636,15.750,15.920,15.898,16.130,16.354,16.465,16.670,16.920,17.148,17.356,17.513,17.706,17.685,17.855,18.032,18.295,18.350,18.677,18.852,19.134,19.297,19.539,19.626,19.836,20.181,20.457,20.782,21.075,21.354,21.650,21.898,22.229,22.533,22.915,23.152,23.404,23.596,23.854,24.072,24.306,24.638,24.844,25.237,25.629,25.956,26.241,26.469,26.797,27.013,27.349,27.644,27.815,28.130,28.274,28.470,28.758,29.030,29.484,29.980,30.342,30.752,31.302,31.703,31.973,32.184,32.302,32.243,32.566,32.738,33.074,33.382,33.782,33.941,34.430,34.831,35.062,35.486,35.973,36.415,36.548,36.939,37.289,37.872,38.441,38.717,38.921,39.327,39.569,39.717,40.049,40.117,39.864,40.324,40.941,40.706,40.983,40.990,41.077,41.293,41.524,41.845,42.492,43.058,43.644,44.288,44.745,44.944,45.297,45.865,46.370,47.211,47.645,48.286,48.672,48.873,49.168,49.580,50.124,50.938,51.442,51.901,52.410,53.125,53.596,54.400,54.857,55.230,55.452,55.816,56.343,56.634,57.322,57.781,57.643,57.599,58.172,58.424,58.772,59.734,60.200,60.837,61.514,61.748,62.060,62.780,63.186,63.706,64.160,64.587,64.971,65.419,66.070,66.553,66.923,67.586,67.974,68.343,68.725,69.336,69.860,70.694,71.470,72.295,73.230,74.103,74.516,75.128,75.839,76.673,77.687,78.898,79.861,80.616,81.303,81.700,81.876,81.989,82.271,82.745,83.280,83.651,84.210,84.565,85.032,85.661,86.139,86.795,87.469,88.296,89.136,89.567,90.416,91.302,91.826,92.378,93.026,93.454,94.142,94.598,94.749,95.250,95.566,96.013,96.323,96.277,96.401,96.059,95.772,95.951,95.988,96.346,96.852,97.504,97.806,98.184,98.687,99.246,99.164,99.733,99.964,99.992,100.311,100.241,100.314,100.569,101.396,101.661,102.427,103.491,104.680,105.450,106.161,106.899,107.543,108.214,108.729,109.258,109.977,110.747,110.859,111.271,111.979,112.541,113.291,114.013,114.330,114.770,115.323,115.909,116.498,113.519,99.156,107.470,108.535
"7","Gross private domestic investment",8.319,7.681,7.455,8.898,9.811,10.418,10.525,10.022,8.525,7.392,8.005,7.611,9.418,10.426,11.322,12.760,11.457,11.722,10.859,9.994,10.255,9.481,9.990,10.709,10.940,11.002,10.772,9.994,9.922,9.898,10.376,10.831,11.913,12.638,12.832,13.129,12.754,12.654,12.541,12.424,12.232,12.219,12.499,11.538,10.760,10.543,11.352,12.320,12.991,14.002,13.098,13.524,14.884,13.496,13.462,11.971,12.281,13.142,14.164,14.398,15.174,15.055,15.310,14.862,15.644,15.893,16.383,16.582,17.202,17.140,17.540,17.707,19.395,19.446,20.123,20.256,21.875,21.551,21.392,21.517,20.989,20.230,20.823,21.272,21.699,22.529,21.914,22.153,23.457,23.319,23.792,22.644,21.968,22.016,22.374,21.186,23.656,24.328,24.623,23.960,25.539,26.989,27.372,27.544,29.158,30.401,29.299,30.342,28.610,28.496,27.019,27.183,22.804,22.125,23.840,24.506,26.870,27.934,28.031,28.241,29.549,31.668,33.270,32.436,33.068,35.216,36.242,37.080,37.141,37.108,36.483,35.836,35.591,32.564,30.415,33.250,36.328,34.822,36.785,35.489,32.132,32.108,31.814,29.354,30.372,33.061,35.131,38.549,42.274,43.649,44.594,44.015,42.808,43.538,43.241,44.834,44.821,44.039,42.854,42.982,44.142,44.165,44.172,47.182,44.917,45.987,46.242,46.948,48.541,48.072,47.640,47.287,47.757,47.771,46.845,44.225,42.753,42.753,43.600,45.146,44.312,46.818,47.190,48.629,49.776,50.062,49.722,52.335,54.329,57.000,56.069,58.376,58.989,57.764,57.420,58.846,59.791,62.663,65.510,65.424,66.745,70.829,71.820,72.892,76.070,75.600,77.544,79.937,82.132,82.184,84.439,86.701,86.092,91.188,90.294,90.466,86.362,86.485,84.614,80.423,82.796,84.156,84.032,83.980,84.626,85.210,88.315,91.290,91.471,95.125,96.601,98.616,101.389,100.040,101.362,104.657,106.211,105.526,105.119,103.079,102.370,103.499,102.455,101.194,98.531,96.745,94.805,85.685,75.783,71.414,71.251,77.839,79.610,83.788,87.524,87.246,85.601,89.103,89.398,96.288,98.299,100.562,101.019,100.120,103.853,105.015,109.078,109.474,108.259,112.828,115.136,115.261,119.282,119.641,119.399,117.963,117.244,116.221,116.261,119.390,119.019,120.115,122.341,124.219,127.490,127.139,130.272,131.526,132.786,130.827,131.427,130.192,127.165,108.698,127.000,134.371
